"Libellé";"idBank";"Dernière mise à jour";"Période";"2022-T1";"2021-T4";"2021-T3";"2021-T2";"2021-T1";"2020-T4";"2020-T3";"2020-T2";"2020-T1";"2019-T4";"2019-T3";"2019-T2";"2019-T1";"2018-T4";"2018-T3";"2018-T2";"2018-T1";"2017-T4";"2017-T3";"2017-T2";"2017-T1"
"Taux de chômage localisé par département - Gironde";"001515898";"29/06/2023 12:00";"";"6.7";"6.8";"7.3";"7.3";"7.7";"7.6";"8.5";"7.0";"7.5";"7.8";"8.0";"8.1";"8.4";"8.4";"8.6";"8.9";"9.1";"9.0";"9.4";"9.5";"9.6"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
